Date,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1967-11-28,0.0171,0.5064,0.0971,0.1093,-0.2706,-0.1711
1967-11-29,0.0171,0.0568,0.6118,0.1397,0.0795,-0.0804
1967-11-30,0.0171,-0.4488,0.1671,0.0864,0.1538,0.2021
1967-12-01,0.0178,0.5383,0.4199,0.082,0.3568,0.1263
1967-12-04,0.0178,0.6327,0.6552,-0.1286,0.8502,0.3885
1967-12-05,0.0178,0.1051,-0.4176,0.2799,0.1603,0.1442
1967-12-06,0.0178,0.3563,-0.1795,-0.4203,0.3022,0.1417
1967-12-07,0.0178,-0.0938,0.2018,-0.1283,-0.1567,0.2297
1967-12-08,0.0178,-0.0903,0.3058,-0.1492,0.0817,-0.0939
1967-12-11,0.0178,-0.1709,0.7628,-0.3853,-0.1031,0.1305
1967-12-12,0.0178,-0.0126,0.4052,-0.6009,-0.0135,-0.3861
1967-12-13,0.0178,0.4271,0.1658,0.1339,0.4271,-0.0288
1967-12-14,0.0178,0.1627,0.5015,-0.118,-0.3425,-0.0317
1967-12-15,0.0178,-0.574,-0.1588,0.6101,-0.4946,0.2292
1967-12-18,0.0178,-0.2881,0.3335,0.5133,0.3071,0.1166
1967-12-19,0.0178,-0.1031,0.1569,-0.2738,-0.0644,-0.1774
1967-12-20,0.0178,0.5687,0.062,0.3903,0.216,-0.0184
1967-12-21,0.0178,0.2429,0.2766,0.2578,0.0018,0.4735
1967-12-22,0.0178,-0.1227,0.4027,0.6612,-0.042,0.3031
1967-12-26,0.0178,0.1483,0.3856,0.3265,-0.0423,0.1939
1967-12-27,0.0178,0.6715,0.0876,-0.1866,0.0968,-0.0515
1967-12-28,0.0178,-0.0478,-0.1124,-0.4614,-0.9357,-0.3657
1967-12-29,0.0178,0.6385,0.0554,-0.2445,0.0667,0.3064
1968-01-02,0.0178,-0.2548,0.7111,1.2535,-0.7965,0.0809
1968-01-03,0.0178,-0.5585,0.1634,0.8342,-0.4854,0.3162
1968-01-04,0.0178,-0.2968,0.2082,0.3449,-0.7392,-0.5283
1968-01-05,0.0178,0.6362,0.7145,0.77,-0.5044,0.2356
1968-01-08,0.0178,0.696,0.1832,0.3502,-0.3377,0.058
1968-01-09,0.0178,-0.1518,-0.0002,-0.0492,0.035,-0.1501
1968-01-10,0.0178,0.1458,0.4311,-0.3931,0.3329,-0.121
1968-01-11,0.0178,0.256,0.873,-0.6573,-0.3589,-0.6112
1968-01-12,0.0178,0.2048,0.8557,0.3473,0.279,-0.0807
1968-01-15,0.0178,-0.1549,0.4686,-0.1897,0.1342,-0.2362
1968-01-16,0.0178,-0.5602,0.4024,0.0877,-0.1911,0.0612
1968-01-17,0.0178,-0.0959,0.6072,0.4044,0.2266,0.3568
1968-01-18,0.0178,-0.0076,0.5929,0.1089,0.1041,0.4757
1968-01-19,0.0178,-0.3463,-0.0648,0.1943,0.407,0.3483
1968-01-22,0.0178,-1.3781,-0.2268,-0.0164,-0.1999,0.4632
1968-01-23,0.0178,-0.5055,-0.1733,-0.0445,0.1788,0.1427
1968-01-24,0.0178,-0.4121,0.3893,0.3995,0.0389,-0.052
1968-01-25,0.0178,0.0446,-0.1826,0.1519,-0.1438,-0.086
1968-01-26,0.0178,0.2104,0.5543,0.2363,0.0173,0.3397
1968-01-29,0.0178,-0.1658,-0.3239,0.3873,-0.0338,0.1922
1968-01-30,0.0178,-0.5563,-0.4752,-0.0765,-0.8269,-0.1078
1968-01-31,0.0178,-0.8248,-0.3809,0.3886,-0.2341,-0.0546
1968-02-01,0.0202,0.2901,-0.2729,0.2186,-0.0951,-0.1708
1968-02-02,0.0202,-0.3349,0.1375,0.0619,-0.215,0.4833
1968-02-05,0.0202,-0.4653,-0.4334,0.1414,-0.3173,0.482
1968-02-06,0.0202,0.0718,-0.2217,0.09,0.0263,-0.056
1968-02-07,0.0202,0.1467,0.1016,0.2242,-0.1015,0.5831
1968-02-08,0.0202,-1.4147,-0.8491,0.4323,-0.3486,0.3612
1968-02-09,0.0202,-1.1922,-0.6148,0.4717,-0.358,-0.0823
1968-02-13,0.0202,-1.0485,-0.5753,0.0397,-0.1371,0.343
1968-02-14,0.0202,1.2524,0.0942,-0.081,0.6163,-0.1906
1968-02-15,0.0202,0.2379,0.5446,-0.0171,0.0613,0.3436
1968-02-16,0.0202,-0.3963,0.0825,0.5616,0.0915,0.1886
1968-02-19,0.0202,0.351,0.0504,0.1388,0.5308,0.2619
1968-02-20,0.0202,0.6229,0.4118,-0.0221,0.6356,0.1317
1968-02-21,0.0202,0.4163,0.1161,-0.4733,-0.0379,-0.0147
1968-02-23,0.0202,-0.483,-0.1904,0.1066,-0.161,0.436
1968-02-26,0.0202,-0.7896,-0.2754,0.1198,-0.2927,0.1611
1968-02-27,0.0202,0.4021,-0.0029,-0.3525,0.1913,-0.3595
1968-02-28,0.0202,-0.5371,0.2118,0.4489,-0.1585,0.4177
1968-02-29,0.0202,-0.8808,-0.2397,0.4293,-0.4537,-0.1997
1968-03-01,0.0189,-0.4464,-0.5871,0.3901,-0.2189,0.0097
1968-03-04,0.0189,-1.5539,-0.7637,0.7854,-0.5652,0.2029
1968-03-05,0.0189,-0.4223,-1.0507,-0.2424,-0.0824,0.2207
1968-03-06,0.0189,1.7963,0.7791,-0.2126,0.3577,0.18
1968-03-07,0.0189,-0.161,0.4522,-0.1299,0.0856,0.0244
1968-03-08,0.0189,-0.1009,-0.2436,0.0647,0.0491,-0.0238
1968-03-11,0.0189,1.3509,0.2912,-0.5841,0.4666,-0.1438
1968-03-12,0.0189,0.1824,0.2328,-0.3667,0.3886,-0.0212
1968-03-13,0.0189,-0.1835,0.4485,0.1391,0.2797,0.219
1968-03-14,0.0189,-2.0892,-0.7765,0.6829,-0.351,0.1311
