,credit_factor,Date
2842,0.003467450100185494,2002-01-16
2843,0.009615379777689115,2002-01-17
2844,-0.005006964616697902,2002-01-18
2845,-0.004823614789984165,2002-01-22
2846,-0.0010738898894028879,2002-01-23
2847,-0.002464886203390238,2002-01-24
2848,-0.003378932692743801,2002-01-25
2849,-0.00241547706363986,2002-01-28
2850,0.0075501240835734,2002-01-29
2851,0.007485022239929481,2002-01-30
2852,-0.0018774925730970973,2002-01-31
2853,0.0017824585331031027,2002-02-01
2854,0.009947071621457047,2002-02-04
2855,0.02168445307202303,2002-02-05
2856,0.008365563440935786,2002-02-06
2857,-0.012678993668029895,2002-02-07
2858,0.0015248116167879931,2002-02-08
2859,0.004453977267234295,2002-02-11
2860,0.00413827882606767,2002-02-12
2861,0.007143219900945715,2002-02-13
2862,0.009726258223148748,2002-02-14
2863,-0.0018861914752108548,2002-02-15
2864,0.004029679152565534,2002-02-19
2865,0.0035440056683893866,2002-02-20
2866,-0.008119854497956316,2002-02-21
2867,-0.001604703978316687,2002-02-22
2868,0.009459797946982616,2002-02-25
2869,-0.002679143428862051,2002-02-26
2870,-0.011202539363312333,2002-02-27
2871,0.004512618615133567,2002-02-28
2872,-0.007785725171772402,2002-03-01
2873,-0.009702320888760628,2002-03-04
2874,-0.009915134939116603,2002-03-05
2875,-0.014144926836811704,2002-03-06
2876,-0.012001142708967079,2002-03-07
2877,0.0036042127165173948,2002-03-08
2878,-0.010836201208221045,2002-03-11
2879,0.006207097064189596,2002-03-12
2880,0.00035988096830955225,2002-03-13
2881,0.00013888552228101753,2002-03-14
2882,0.004251629475554093,2002-03-15
2883,-0.006888515434794297,2002-03-18
2884,0.00878128374507669,2002-03-19
2885,-0.0029990783513268136,2002-03-20
2886,0.00429796060297115,2002-03-21
2887,0.004768959147124214,2002-03-22
2888,-0.004867708006429413,2002-03-25
2889,0.0036346073590651905,2002-03-26
2890,-0.0007391791685511092,2002-03-27
2891,-0.0021112701572063132,2002-03-28
2892,0.0014886991790463331,2002-04-01
2893,-0.0035825346562144075,2002-04-02
2894,-7.169683156400299e-05,2002-04-03
2895,0.007785982384857589,2002-04-04
2896,0.0012735796923801623,2002-04-05
2897,0.0102077455758866,2002-04-08
2898,0.0028921920486795595,2002-04-09
2899,-0.007676161638977767,2002-04-10
2900,0.0007952660973678354,2002-04-11
2901,0.0089411597930545,2002-04-12
2902,0.0026026973794673414,2002-04-15
2903,0.0008595630229038531,2002-04-16
2904,-0.014374278085021553,2002-04-17
2905,0.0038767492357623585,2002-04-18
2906,0.00803267033040174,2002-04-19
2907,0.0013798696431626834,2002-04-22
2908,-0.0035134280524896973,2002-04-23
2909,0.0029802637559420966,2002-04-24
2910,0.0029106066958930303,2002-04-25
2911,0.00634443236531718,2002-04-26
2912,0.008000450152029904,2002-04-29
2913,-0.001047513140489665,2002-04-30
2914,-0.007346362672101033,2002-05-01
2915,-0.006509500012422616,2002-05-02
2916,-0.0022421814842785515,2002-05-03
2917,0.0018182332420808682,2002-05-06
2918,0.01112187816172635,2002-05-07
2919,0.0037547639272431724,2002-05-08
2920,0.0049756949471613104,2002-05-09
2921,0.006603185667870427,2002-05-10
2922,0.01164670735279465,2002-05-13
2923,0.002882474935139434,2002-05-14
2924,0.002376738068731954,2002-05-15
2925,0.0032096950883467043,2002-05-16
2926,0.004470682034994825,2002-05-17
2927,-0.007656406539449755,2002-05-20
2928,-0.003153513194415737,2002-05-21
2929,-0.008010381496235425,2002-05-22
2930,0.0047562944622514865,2002-05-23
2931,-3.52527263808803e-05,2002-05-24
2932,-0.0023025113641843013,2002-05-28
2933,0.002343753295839619,2002-05-29
2934,0.006517235316356976,2002-05-30
2935,-0.0009339603572228118,2002-05-31
2936,0.004789682907762865,2002-06-03
2937,-0.001110550360558373,2002-06-04
2938,0.013737024717557205,2002-06-05
2939,0.009123792174404639,2002-06-06
2940,0.0031438714817977973,2002-06-07
2941,0.008913587267303557,2002-06-10
2942,0.004107790609607635,2002-06-11
2943,-0.0009707394003529626,2002-06-12
2944,-0.003948386592388905,2002-06-13
2945,0.006348875896549207,2002-06-14
2946,0.0014258521833497295,2002-06-17
2947,-0.006746970629723429,2002-06-18
2948,0.005543203170700641,2002-06-19
2949,-0.004856956605136995,2002-06-20
2950,-0.00559896523367382,2002-06-21
2951,0.006516298499384874,2002-06-24
2952,-0.0033746669362664725,2002-06-25
2953,0.011474298935281443,2002-06-26
