Date,RF_HXZ,Mkt-RF_HXZ,ME_HXZ,IA_HXZ,ROE_HXZ,EG_HXZ
1972-05-05,0.0668,-1.1375,-1.4853,0.2882,0.8736,0.5706
1972-05-12,0.0668,-0.1616,-0.3536,-0.2827,-0.2732,-0.0475
1972-05-19,0.0668,2.3355,-0.1787,-0.1581,1.0182,0.7947
1972-05-26,0.0668,1.3623,-0.1831,-1.208,0.9951,0.0917
1972-06-02,0.0521,-0.7422,0.0125,-0.3769,-0.3573,-0.555
1972-06-09,0.0636,-2.5853,0.3177,-0.1795,0.8919,-0.036
1972-06-16,0.0636,1.0971,-0.3763,0.6015,1.4605,1.1037
1972-06-23,0.0636,-0.2252,-0.3232,-0.0735,0.2394,0.5488
1972-06-30,0.0636,-0.9859,0.4663,-0.1047,0.9707,0.4147
1972-07-07,0.0616,1.338,-0.0505,-0.4485,0.9996,1.0995
1972-07-14,0.077,-2.0077,-0.8645,0.7183,0.1042,0.3065
1972-07-21,0.077,-0.4035,-0.3786,0.0385,0.0262,1.216
1972-07-28,0.077,0.3586,-0.3413,-0.7199,0.822,0.3225
1972-08-04,0.0673,2.8079,-2.0868,0.4683,0.7925,0.1917
1972-08-11,0.0649,1.3444,-0.689,0.5673,-0.5523,0.167
1972-08-18,0.0649,-0.1029,0.5027,1.0011,-0.2124,0.3902
1972-08-25,0.0649,-1.08,-0.3575,0.9011,-0.9669,-0.352
1972-09-01,0.0696,0.6216,-0.8084,0.7526,0.2387,0.1934
1972-09-08,0.0708,-1.3649,-0.4421,0.5589,-0.3772,-0.0285
1972-09-15,0.0885,-1.4018,0.1873,-0.2668,0.7023,0.4165
1972-09-22,0.0885,-0.4565,-0.4245,-0.4858,0.3406,-0.2517
1972-09-29,0.0885,1.7103,-0.8203,-1.305,1.0267,0.2869
1972-10-06,0.0883,-0.9925,-0.476,-0.4337,-0.4634,0.6342
1972-10-13,0.0883,-1.6371,-0.2157,0.6832,0.0656,0.179
1972-10-20,0.0883,1.0099,-1.8472,-0.9671,-0.6925,-0.0928
