Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
1984-07,   -2.74,   -2.22,    0.36,    3.55,   -2.15,    0.82,   2.85
1984-08,   10.28,   -0.26,   -1.82,   -0.68,   -0.92,    0.83,  -5.59
1984-09,   -0.80,   -0.03,    5.28,    1.37,    2.41,    0.86,   3.62
1984-10,   -0.84,   -1.44,    0.45,    1.18,   -1.09,    1.00,   3.16
1984-11,   -1.76,   -1.02,    4.06,    0.72,    2.06,    0.73,   1.64
1984-12,    1.84,   -0.65,   -0.26,    1.31,   -1.36,    0.64,   1.49
1985-01,    7.99,    3.51,   -5.35,   -0.89,   -3.41,    0.65,  -6.82
1985-02,    1.22,    1.04,   -0.10,    1.29,    1.06,    0.58,   1.88
1985-03,   -0.84,   -1.39,    4.07,    1.23,    2.88,    0.62,   1.58
1985-04,   -0.96,   -0.10,    3.72,    1.55,    0.71,    0.72,   3.04
1985-05,    5.09,   -2.31,   -0.96,    1.33,   -1.49,    0.66,   3.99
1985-06,    1.27,    0.35,    0.38,    1.76,   -0.77,    0.55,   3.57
1985-07,   -0.74,    2.87,   -1.62,   -0.42,   -0.38,    0.62,  -3.91
1985-08,   -1.02,   -0.29,    2.32,   -0.10,    1.83,    0.55,   1.85
1985-09,   -4.54,   -1.80,    1.29,    1.14,    1.64,    0.60,   1.51
1985-10,    4.02,   -1.50,    0.75,    0.89,   -1.06,    0.65,   4.88
1985-11,    6.48,    0.02,   -2.85,    0.33,   -2.32,    0.61,  -0.47
1985-12,    3.88,   -0.41,   -1.54,    0.99,   -1.80,    0.65,  -0.23
1986-01,    0.65,    1.01,    0.44,   -2.00,   -2.03,    0.56,   3.00
1986-02,    7.13,   -0.71,   -0.72,    1.06,   -1.20,    0.53,   2.76
1986-03,    4.88,   -0.66,   -0.39,    1.21,    0.92,    0.60,   2.41
1986-04,   -1.31,    2.84,   -2.87,    2.91,    0.03,    0.52,  -0.37
1986-05,    4.62,   -1.29,   -0.21,    2.13,    1.08,    0.49,   2.05
1986-06,    1.03,   -0.89,    1.28,    1.80,    0.87,    0.52,   5.07
1986-07,   -6.45,   -3.46,    4.70,   -0.54,    0.84,    0.52,   1.83
