Year_Month,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1995-03,0.4134,2.2357,-1.2145,0.1685,1.2654,0.7805
1995-04,0.445,2.1075,-0.0076,0.0068,0.142,3.4497
1995-05,0.5355,2.8934,-2.2038,0.8586,-1.0066,1.4624
1995-06,0.4714,2.7151,3.219,-1.7465,2.1275,1.8099
1995-07,0.4522,3.7121,1.7624,-2.5443,0.9451,0.3138
1995-08,0.4637,0.5526,2.3538,2.1996,0.1383,1.2954
1995-09,0.4309,3.351,-0.7905,1.9328,1.3917,3.123
1995-10,0.4714,-1.5134,-5.0247,0.7822,2.7798,4.4585
1995-11,0.4108,3.9618,-0.7575,1.1261,-0.2398,-1.2715
1995-12,0.4882,1.0389,0.6315,3.1163,0.2794,0.4029
1996-01,0.4278,2.2549,-2.6865,2.451,-1.5087,1.4014
1996-02,0.3908,1.3294,2.7354,-0.9876,3.1394,0.7364
1996-03,0.3943,0.728,1.873,-0.6897,0.2756,-1.3301
1996-04,0.4579,2.0645,5.1852,-1.8073,2.8673,1.1731
1996-05,0.3982,2.3872,4.4631,1.0265,1.864,-1.4379
1996-06,0.4,-1.134,-4.2992,1.7381,0.866,1.6996
1996-07,0.4497,-5.9557,-3.3585,2.0165,2.415,2.9393
1996-08,0.4122,2.7697,2.4811,-1.8529,0.1305,-1.3704
1996-09,0.4375,5.0076,-1.4457,-1.7381,2.2071,2.9315
1996-10,0.4246,0.8672,-2.4195,3.6633,1.8831,3.2184
1996-11,0.3941,6.2603,-3.5327,-1.3109,0.8165,5.389
1996-12,0.4404,-1.6784,3.3237,1.2254,0.9371,1.7538
1997-01,0.4014,5.0141,-0.795,-0.6466,1.8159,2.5674
1997-02,0.3788,-0.4744,-2.4667,2.9153,-1.5374,0.6426
1997-03,0.431,-5.0208,-0.5279,1.7515,1.7708,0.2068
1997-04,0.4313,4.0341,-4.7258,-1.8801,3.8599,2.9932
1997-05,0.4263,6.7947,5.0194,-3.2305,-0.2201,-1.4972
1997-06,0.3744,4.0843,1.0326,0.2313,2.1092,0.1107
1997-07,0.4294,7.3144,-1.4173,-3.0399,1.2853,1.2829
1997-08,0.4058,-4.0945,7.4961,-0.7059,-1.4198,0.4401
1997-09,0.4576,5.3255,2.435,-0.1259,-1.0418,-2.6061
1997-10,0.3911,-3.7622,-1.0927,2.6609,-1.0477,-1.4187
